type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,us-east-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,38896.94,1.480060,35.521440,2.959144,71.019446,95CNJ6CMW82ZB6S2
onDemand,us-east-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,,,,7.980800,191.539200,7.980800,191.539200,96WR27DHUXTV5YBW
savings,us-east-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,44041.46,0.000000,0.000000,5.024123,120.578946,96WR27DHUXTV5YBW
savings,us-east-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,22721.20,2.593760,62.250240,5.185729,124.457495,96WR27DHUXTV5YBW
savings,us-east-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,5.347480,128.339520,5.347480,128.339520,96WR27DHUXTV5YBW
savings,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,28586.40,0.000000,0.000000,3.261054,78.265298,9J7HGENCRVDVQJTU
savings,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,29172.92,1.110088,26.642112,2.219409,53.265813,9J7HGENCRVDVQJTU
savings,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,54840.48,0.000000,0.000000,2.085348,50.048350,9J7HGENCRVDVQJTU
savings,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,14591.62,1.665734,39.977616,3.330304,79.927294,9J7HGENCRVDVQJTU
savings,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.921600,94.118400,3.921600,94.118400,9J7HGENCRVDVQJTU
onDemand,us-east-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,,,,4.939840,118.556160,4.939840,118.556160,9QNABRAGB9TAGTTD
onDemand,us-east-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.593760,62.250240,2.593760,62.250240,9ZE6SAPP3CUC48M9
onDemand,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,,,,3.802920,91.270080,3.802920,91.270080,AMEVE5T9DE8ATGTK
savings,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,27483.88,1.045846,25.100304,2.090940,50.182558,AMEVE5T9DE8ATGTK
savings,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,2.928300,70.279200,2.928300,70.279200,AMEVE5T9DE8ATGTK
savings,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,24319.08,0.000000,0.000000,2.774251,66.582012,AMEVE5T9DE8ATGTK
savings,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,12493.22,1.426138,34.227312,2.851329,68.431884,AMEVE5T9DE8ATGTK
savings,us-east-1,db.r7g.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,52969.12,0.000000,0.000000,2.014188,48.340516,AMEVE5T9DE8ATGTK
onDemand,us-east-1,db.r8g.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.469920,59.278080,2.469920,59.278080,B4CPX92VTHCVWK95
onDemand,us-east-1,db.r7i.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.296880,31.125120,1.296880,31.125120,BNHHMYH93VDBWU4V
onDemand,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,,,,19.153920,459.694080,19.153920,459.694080,C25WP8HJXAM3XXGD
savings,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,138425.60,5.267328,126.415872,10.531059,252.745418,C25WP8HJXAM3XXGD
