type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,3yr,All Upfront,423869.07,0.000000,0.000000,16.117920,386.830089,7P2JHBNMCSKFEETT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,23.432600,562.382400,23.432600,562.382400,7P2JHBNMCSKFEETT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,Partial Upfront,99969.12,11.412000,273.888000,22.816189,547.588534,7P2JHBNMCSKFEETT
onDemand,us-east-1,db.x2iezn.4xlarge,multi-az,oracle,byol,,,,12.143000,291.432000,12.143000,291.432000,7S9GV4JUA45V2Y99
onDemand,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,,,,60.864000,1460.736000,60.864000,1460.736000,9CZJQA8EAC33KCFJ
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,All Upfront,389213.11,0.000000,0.000000,44.400309,1065.607420,9CZJQA8EAC33KCFJ
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,Partial Upfront,199938.24,22.824000,547.776000,45.632378,1095.177068,9CZJQA8EAC33KCFJ
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,3yr,All Upfront,847738.14,0.000000,0.000000,32.235841,773.660178,9CZJQA8EAC33KCFJ
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,3yr,Partial Upfront,439864.13,16.737600,401.702400,33.463744,803.129852,9CZJQA8EAC33KCFJ
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,46.865200,1124.764800,46.865200,1124.764800,9CZJQA8EAC33KCFJ
onDemand,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,,,,91.296000,2191.104000,91.296000,2191.104000,9GWR2KHXBPQM5N2J
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,Partial Upfront,299907.36,34.236000,821.664000,68.448567,1642.765602,9GWR2KHXBPQM5N2J
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,3yr,All Upfront,1271607.21,0.000000,0.000000,48.353761,1160.490267,9GWR2KHXBPQM5N2J
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,All Upfront,583819.66,0.000000,0.000000,66.600463,1598.411116,9GWR2KHXBPQM5N2J
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,3yr,Partial Upfront,659796.19,25.106400,602.553600,50.195616,1204.694773,9GWR2KHXBPQM5N2J
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,70.297900,1687.149600,70.297900,1687.149600,9GWR2KHXBPQM5N2J
onDemand,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,,,,33.600000,806.400000,33.600000,806.400000,9PEZ6DCHGWHNNJYV
savings,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,3yr,Partial Upfront,220752.00,8.400000,201.600000,16.794251,403.062012,9PEZ6DCHGWHNNJYV
savings,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,24.192000,580.608000,24.192000,580.608000,9PEZ6DCHGWHNNJYV
savings,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,1yr,All Upfront,200148.00,0.000000,0.000000,22.832307,547.975359,9PEZ6DCHGWHNNJYV
savings,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,1yr,Partial Upfront,103018.00,11.760000,282.240000,23.511996,564.287912,9PEZ6DCHGWHNNJYV
savings,us-east-1,db.x2idn.24xlarge,multi-az,oracle,byol,3yr,All Upfront,423844.00,0.000000,0.000000,16.116967,386.807210,9PEZ6DCHGWHNNJYV
onDemand,us-east-1,db.x1.16xlarge,multi-az,oracle,byol,,,,22.400000,537.600000,22.400000,537.600000,ADUVU75EV6R6W4PY
onDemand,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,,,,121.728000,2921.472000,121.728000,2921.472000,B73RU9KRT2GGZWH6
savings,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,93.730500,2249.532000,93.730500,2249.532000,B73RU9KRT2GGZWH6
savings,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,1yr,Partial Upfront,399876.48,45.648000,1095.552000,91.264756,2190.354136,B73RU9KRT2GGZWH6
savings,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,3yr,All Upfront,1695476.28,0.000000,0.000000,64.471681,1547.320356,B73RU9KRT2GGZWH6
savings,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,3yr,Partial Upfront,879728.26,33.475200,803.404800,66.927488,1606.259703,B73RU9KRT2GGZWH6
savings,us-east-1,db.x2iedn.32xlarge,multi-az,oracle,byol,1yr,All Upfront,778426.21,0.000000,0.000000,88.800617,2131.214812,B73RU9KRT2GGZWH6
onDemand,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,,,,15.216000,365.184000,15.216000,365.184000,CBMP5XEZFZKA4MRS
savings,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,3yr,All Upfront,211934.53,0.000000,0.000000,8.058960,193.415040,CBMP5XEZFZKA4MRS
savings,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,1yr,All Upfront,97303.28,0.000000,0.000000,11.100078,266.401862,CBMP5XEZFZKA4MRS
savings,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,3yr,Partial Upfront,109966.03,4.184400,100.425600,8.365936,200.782461,CBMP5XEZFZKA4MRS
savings,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,11.716300,281.191200,11.716300,281.191200,CBMP5XEZFZKA4MRS
