type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,50445.00,5.758500,138.204000,11.513120,276.314883,QZAZH9QC4STP9Y2M
savings,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,13.440000,322.560000,13.440000,322.560000,QZAZH9QC4STP9Y2M
onDemand,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,,,,8.237000,197.688000,8.237000,197.688000,REPWS7FW2RBT3DM2
savings,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,114725.00,0.000000,0.000000,4.362499,104.699977,REPWS7FW2RBT3DM2
savings,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,59527.00,2.265100,54.362400,4.528656,108.687748,REPWS7FW2RBT3DM2
savings,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,27058.00,3.088800,74.131200,6.175499,148.211967,REPWS7FW2RBT3DM2
savings,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,52673.00,0.000000,0.000000,6.008784,144.210815,REPWS7FW2RBT3DM2
savings,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,6.342300,152.215200,6.342300,152.215200,REPWS7FW2RBT3DM2
onDemand,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.280000,30.720000,1.280000,30.720000,RJZH5KHH64QW4KT5
savings,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.840000,20.160000,0.840000,20.160000,RJZH5KHH64QW4KT5
savings,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,3152.00,0.359800,8.635200,0.719371,17.264906,RJZH5KHH64QW4KT5
savings,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,6178.00,0.000000,0.000000,0.704768,16.914442,RJZH5KHH64QW4KT5
savings,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,12181.00,0.000000,0.000000,0.463191,11.116587,RJZH5KHH64QW4KT5
savings,eu-west-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,6479.00,0.246500,5.916000,0.492869,11.828845,RJZH5KHH64QW4KT5
onDemand,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.373000,32.952000,1.373000,32.952000,RQU23BUYVX6UZQR8
